total_rows,rows_updated,rows_created,errors,date,day_of_week,axis_label,is_anom,anomaly_type
27571.0,9813.0,17758,13.0,2024-01-04,Thursday,Thursday 2024-01-04,0,
33316.0,17577.0,15739,8.0,2024-01-03,Wednesday,Wednesday 2024-01-03,0,
33676.0,15179.0,18497,21.0,2024-01-02,Tuesday,Tuesday 2024-01-02,0,
1485.0,919.0,566,19.0,2024-01-01,Monday,Monday 2024-01-01,0,
1709.0,691.0,1018,24.0,2023-12-31,Sunday,Sunday 2023-12-31,0,
32046.0,18195.0,13851,8.0,2023-12-30,Saturday,Saturday 2023-12-30,0,
31434.0,8070.0,23364,19.0,2023-12-29,Friday,Friday 2023-12-29,0,
27413.0,5080.0,22333,19.0,2023-12-28,Thursday,Thursday 2023-12-28,0,
31371.0,29278.0,2093,15.0,2023-12-27,Wednesday,Wednesday 2023-12-27,0,
29729.0,1990.0,27739,9.0,2023-12-26,Tuesday,Tuesday 2023-12-26,0,
2128.0,604.0,1524,34.0,2023-12-25,Monday,Monday 2023-12-25,0,
1882.0,1645.0,237,43.0,2023-12-24,Sunday,Sunday 2023-12-24,0,
33878.0,3674.0,30204,5.0,2023-12-23,Saturday,Saturday 2023-12-23,0,
29353.0,16618.0,12735,9.0,2023-12-22,Friday,Friday 2023-12-22,0,
32046.0,3953.0,28093,17.0,2023-12-21,Thursday,Thursday 2023-12-21,0,
27587.0,26493.0,1094,4.0,2023-12-20,Wednesday,Wednesday 2023-12-20,0,
29502.0,17294.0,12208,12.0,2023-12-19,Tuesday,Tuesday 2023-12-19,0,
1506.0,203.0,1303,32.0,2023-12-18,Monday,Monday 2023-12-18,0,
2094.0,792.0,1302,9.0,2023-12-17,Sunday,Sunday 2023-12-17,0,
31799.0,1848.0,29951,10.0,2023-12-16,Saturday,Saturday 2023-12-16,0,
27662.0,12577.0,15085,17.0,2023-12-15,Friday,Friday 2023-12-15,0,
29837.0,2272.0,27565,8.0,2023-12-14,Thursday,Thursday 2023-12-14,0,
31777.0,9571.0,22206,10.0,2023-12-13,Wednesday,Wednesday 2023-12-13,0,
29781.0,18845.0,10936,22.0,2023-12-12,Tuesday,Tuesday 2023-12-12,0,
1743.0,85.0,1658,17.0,2023-12-11,Monday,Monday 2023-12-11,0,
1708.0,1486.0,222,29.0,2023-12-10,Sunday,Sunday 2023-12-10,0,
29659.0,23426.0,6233,17.0,2023-12-09,Saturday,Saturday 2023-12-09,0,
37400.0,31132.0,6268,9.0,2023-12-08,Friday,Friday 2023-12-08,0,
29531.0,26570.0,2961,5.0,2023-12-07,Thursday,Thursday 2023-12-07,0,
35519.0,7273.0,28246,19.0,2023-12-06,Wednesday,Wednesday 2023-12-06,0,
34191.0,4112.0,30079,5.0,2023-12-05,Tuesday,Tuesday 2023-12-05,0,
1977.0,1350.0,627,21.0,2023-12-04,Monday,Monday 2023-12-04,0,
1884.0,1180.0,704,29.0,2023-12-03,Sunday,Sunday 2023-12-03,0,
25734.0,6065.0,19669,19.0,2023-12-02,Saturday,Saturday 2023-12-02,0,
25236.0,15116.0,10120,13.0,2023-12-01,Friday,Friday 2023-12-01,0,
30118.0,18974.0,11144,8.0,2023-11-30,Thursday,Thursday 2023-11-30,0,
29691.0,18957.0,10734,22.0,2023-11-29,Wednesday,Wednesday 2023-11-29,0,
27737.0,21789.0,5948,19.0,2023-11-28,Tuesday,Tuesday 2023-11-28,0,
1753.0,492.0,1261,29.0,2023-11-27,Monday,Monday 2023-11-27,0,
2103.0,1833.0,270,22.0,2023-11-26,Sunday,Sunday 2023-11-26,0,
21794.0,18236.0,3558,5.0,2023-11-25,Saturday,Saturday 2023-11-25,0,
27856.0,27828.0,28,10.0,2023-11-24,Friday,Friday 2023-11-24,0,
27261.0,10297.0,16964,13.0,2023-11-23,Thursday,Thursday 2023-11-23,0,
23834.0,20276.0,3558,14.0,2023-11-22,Wednesday,Wednesday 2023-11-22,0,
39660.0,35594.0,4066,10.0,2023-11-21,Tuesday,Tuesday 2023-11-21,0,
1730.0,1204.0,526,21.0,2023-11-20,Monday,Monday 2023-11-20,0,
1735.0,63.0,1672,19.0,2023-11-19,Sunday,Sunday 2023-11-19,0,
27782.0,23505.0,4277,10.0,2023-11-18,Saturday,Saturday 2023-11-18,0,
29843.0,14689.0,15154,18.0,2023-11-17,Friday,Friday 2023-11-17,0,
29201.0,18987.0,10214,18.0,2023-11-16,Thursday,Thursday 2023-11-16,0,
29311.0,3206.0,26105,14.0,2023-11-15,Wednesday,Wednesday 2023-11-15,0,
33351.0,22024.0,11327,10.0,2023-11-14,Tuesday,Tuesday 2023-11-14,0,
1955.0,1946.0,9,9.0,2023-11-13,Monday,Monday 2023-11-13,0,
1595.0,624.0,971,6.0,2023-11-12,Sunday,Sunday 2023-11-12,0,
30019.0,16192.0,13827,14.0,2023-11-11,Saturday,Saturday 2023-11-11,0,
31016.0,26866.0,4150,12.0,2023-11-10,Friday,Friday 2023-11-10,0,
27953.0,22413.0,5540,9.0,2023-11-09,Thursday,Thursday 2023-11-09,0,
33554.0,18737.0,14817,10.0,2023-11-08,Wednesday,Wednesday 2023-11-08,0,
31884.0,20146.0,11738,11.0,2023-11-07,Tuesday,Tuesday 2023-11-07,0,
2108.0,1135.0,973,21.0,2023-11-06,Monday,Monday 2023-11-06,0,
1779.0,1205.0,574,27.0,2023-11-05,Sunday,Sunday 2023-11-05,0,
37533.0,17109.0,20424,15.0,2023-11-04,Saturday,Saturday 2023-11-04,0,
29141.0,5555.0,23586,19.0,2023-11-03,Friday,Friday 2023-11-03,0,
32347.0,17364.0,14983,10.0,2023-11-02,Thursday,Thursday 2023-11-02,0,
22237.0,5944.0,16293,24.0,2023-11-01,Wednesday,Wednesday 2023-11-01,0,
29274.0,12388.0,16886,12.0,2023-10-31,Tuesday,Tuesday 2023-10-31,0,
1680.0,977.0,703,34.0,2023-10-30,Monday,Monday 2023-10-30,0,
1740.0,741.0,999,30.0,2023-10-29,Sunday,Sunday 2023-10-29,0,
27649.0,21139.0,6510,9.0,2023-10-28,Saturday,Saturday 2023-10-28,0,
27625.0,26636.0,989,17.0,2023-10-27,Friday,Friday 2023-10-27,0,
29046.0,21350.0,7696,17.0,2023-10-26,Thursday,Thursday 2023-10-26,0,
34869.0,24540.0,10329,8.0,2023-10-25,Wednesday,Wednesday 2023-10-25,0,
33449.0,31807.0,1642,15.0,2023-10-24,Tuesday,Tuesday 2023-10-24,0,
1240.0,469.0,771,32.0,2023-10-23,Monday,Monday 2023-10-23,0,
1881.0,1586.0,295,17.0,2023-10-22,Sunday,Sunday 2023-10-22,0,
27712.0,9815.0,17897,12.0,2023-10-21,Saturday,Saturday 2023-10-21,0,
25307.0,7083.0,18224,17.0,2023-10-20,Friday,Friday 2023-10-20,0,
36027.0,10539.0,25488,21.0,2023-10-19,Thursday,Thursday 2023-10-19,0,
25214.0,6060.0,19154,16.0,2023-10-18,Wednesday,Wednesday 2023-10-18,0,
22208.0,9282.0,12926,14.0,2023-10-17,Tuesday,Tuesday 2023-10-17,0,
1759.0,686.0,1073,12.0,2023-10-16,Monday,Monday 2023-10-16,0,
1558.0,161.0,1397,19.0,2023-10-15,Sunday,Sunday 2023-10-15,0,
25843.0,7024.0,18819,5.0,2023-10-14,Saturday,Saturday 2023-10-14,0,
27325.0,26049.0,1276,18.0,2023-10-13,Friday,Friday 2023-10-13,0,
28171.0,11352.0,16819,16.0,2023-10-12,Thursday,Thursday 2023-10-12,0,
26051.0,25512.0,539,12.0,2023-10-11,Wednesday,Wednesday 2023-10-11,0,
25806.0,20204.0,5602,9.0,2023-10-10,Tuesday,Tuesday 2023-10-10,0,
1941.0,870.0,1071,8.0,2023-10-09,Monday,Monday 2023-10-09,0,
2206.0,914.0,1292,38.0,2023-10-08,Sunday,Sunday 2023-10-08,0,
35376.0,24469.0,10907,17.0,2023-10-07,Saturday,Saturday 2023-10-07,0,
23263.0,9712.0,13551,9.0,2023-10-06,Friday,Friday 2023-10-06,0,
29605.0,10801.0,18804,18.0,2023-10-05,Thursday,Thursday 2023-10-05,0,
29416.0,23123.0,6293,14.0,2023-10-04,Wednesday,Wednesday 2023-10-04,0,
27984.0,9476.0,18508,9.0,2023-10-03,Tuesday,Tuesday 2023-10-03,0,
1718.0,1352.0,366,25.0,2023-10-02,Monday,Monday 2023-10-02,0,
1482.0,567.0,915,29.0,2023-10-01,Sunday,Sunday 2023-10-01,0,
30140.0,1874.0,28266,7.0,2023-09-30,Saturday,Saturday 2023-09-30,0,
30000.0,26853.0,3147,17.0,2023-09-29,Friday,Friday 2023-09-29,0,
25073.0,9721.0,15352,20.0,2023-09-28,Thursday,Thursday 2023-09-28,0,
23224.0,3871.0,19353,31.0,2023-09-27,Wednesday,Wednesday 2023-09-27,0,
35610.0,27996.0,7614,4.0,2023-09-26,Tuesday,Tuesday 2023-09-26,0,
2127.0,1607.0,520,43.0,2023-09-25,Monday,Monday 2023-09-25,0,
1730.0,1239.0,491,16.0,2023-09-24,Sunday,Sunday 2023-09-24,0,
27114.0,16315.0,10799,11.0,2023-09-23,Saturday,Saturday 2023-09-23,0,
30116.0,28507.0,1609,5.0,2023-09-22,Friday,Friday 2023-09-22,0,
13552.0,3572.0,9980,15.0,2023-09-21,Thursday,Thursday 2023-09-21,0,
29931.0,1089.0,28842,22.0,2023-09-20,Wednesday,Wednesday 2023-09-20,0,
29012.0,9347.0,19665,12.0,2023-09-19,Tuesday,Tuesday 2023-09-19,0,
1740.0,591.0,1149,9.0,2023-09-18,Monday,Monday 2023-09-18,0,
1734.0,199.0,1535,12.0,2023-09-17,Sunday,Sunday 2023-09-17,0,
34905.0,11914.0,22991,11.0,2023-09-16,Saturday,Saturday 2023-09-16,0,
31840.0,17447.0,14393,11.0,2023-09-15,Friday,Friday 2023-09-15,0,
33332.0,21555.0,11777,11.0,2023-09-14,Thursday,Thursday 2023-09-14,0,
29959.0,7064.0,22895,21.0,2023-09-13,Wednesday,Wednesday 2023-09-13,0,
35972.0,32789.0,3183,23.0,2023-09-12,Tuesday,Tuesday 2023-09-12,0,
2087.0,1413.0,674,16.0,2023-09-11,Monday,Monday 2023-09-11,0,
1727.0,878.0,849,38.0,2023-09-10,Sunday,Sunday 2023-09-10,0,
33809.0,18480.0,15329,9.0,2023-09-09,Saturday,Saturday 2023-09-09,0,
33931.0,866.0,33065,11.0,2023-09-08,Friday,Friday 2023-09-08,0,
31461.0,26201.0,5260,12.0,2023-09-07,Thursday,Thursday 2023-09-07,0,
27429.0,8033.0,19396,12.0,2023-09-06,Wednesday,Wednesday 2023-09-06,0,
31499.0,24627.0,6872,11.0,2023-09-05,Tuesday,Tuesday 2023-09-05,0,
1570.0,1103.0,467,35.0,2023-09-04,Monday,Monday 2023-09-04,0,
1719.0,288.0,1431,17.0,2023-09-03,Sunday,Sunday 2023-09-03,0,
27837.0,918.0,26919,7.0,2023-09-02,Saturday,Saturday 2023-09-02,0,
31698.0,23548.0,8150,14.0,2023-09-01,Friday,Friday 2023-09-01,0,
27197.0,15278.0,11919,8.0,2023-08-31,Thursday,Thursday 2023-08-31,0,
25353.0,258.0,25095,7.0,2023-08-30,Wednesday,Wednesday 2023-08-30,0,
21358.0,8765.0,12593,16.0,2023-08-29,Tuesday,Tuesday 2023-08-29,0,
1827.0,1097.0,730,14.0,2023-08-28,Monday,Monday 2023-08-28,0,
2122.0,837.0,1285,30.0,2023-08-27,Sunday,Sunday 2023-08-27,0,
30148.0,4219.0,25929,26.0,2023-08-26,Saturday,Saturday 2023-08-26,0,
27698.0,11088.0,16610,11.0,2023-08-25,Friday,Friday 2023-08-25,0,
30262.0,23639.0,6623,12.0,2023-08-24,Thursday,Thursday 2023-08-24,0,
31243.0,25540.0,5703,20.0,2023-08-23,Wednesday,Wednesday 2023-08-23,0,
31923.0,10008.0,21915,11.0,2023-08-22,Tuesday,Tuesday 2023-08-22,0,
2149.0,2124.0,25,27.0,2023-08-21,Monday,Monday 2023-08-21,0,
1873.0,596.0,1277,8.0,2023-08-20,Sunday,Sunday 2023-08-20,0,
31436.0,14861.0,16575,12.0,2023-08-19,Saturday,Saturday 2023-08-19,0,
30206.0,11218.0,18988,17.0,2023-08-18,Friday,Friday 2023-08-18,0,
28070.0,4095.0,23975,18.0,2023-08-17,Thursday,Thursday 2023-08-17,0,
31084.0,3553.0,27531,9.0,2023-08-16,Wednesday,Wednesday 2023-08-16,0,
26807.0,21009.0,5798,16.0,2023-08-15,Tuesday,Tuesday 2023-08-15,0,
2267.0,732.0,1535,24.0,2023-08-14,Monday,Monday 2023-08-14,0,
1967.0,1580.0,387,14.0,2023-08-13,Sunday,Sunday 2023-08-13,0,
36140.0,28702.0,7438,10.0,2023-08-12,Saturday,Saturday 2023-08-12,0,
25908.0,6875.0,19033,13.0,2023-08-11,Friday,Friday 2023-08-11,0,
25797.0,9127.0,16670,17.0,2023-08-10,Thursday,Thursday 2023-08-10,0,
33268.0,31116.0,2152,10.0,2023-08-09,Wednesday,Wednesday 2023-08-09,0,
31031.0,15386.0,15645,16.0,2023-08-08,Tuesday,Tuesday 2023-08-08,0,
2018.0,526.0,1492,17.0,2023-08-07,Monday,Monday 2023-08-07,0,
1690.0,1150.0,540,24.0,2023-08-06,Sunday,Sunday 2023-08-06,0,
29284.0,6431.0,22853,10.0,2023-08-05,Saturday,Saturday 2023-08-05,0,
35157.0,18680.0,16477,4.0,2023-08-04,Friday,Friday 2023-08-04,0,
30030.0,12983.0,17047,12.0,2023-08-03,Thursday,Thursday 2023-08-03,0,
25542.0,7184.0,18358,9.0,2023-08-02,Wednesday,Wednesday 2023-08-02,0,
31630.0,30495.0,1135,7.0,2023-08-01,Tuesday,Tuesday 2023-08-01,0,
1479.0,994.0,485,14.0,2023-07-31,Monday,Monday 2023-07-31,0,
2089.0,766.0,1323,29.0,2023-07-30,Sunday,Sunday 2023-07-30,0,
23285.0,3158.0,20127,11.0,2023-07-29,Saturday,Saturday 2023-07-29,0,
24441.0,22627.0,1814,13.0,2023-07-28,Friday,Friday 2023-07-28,0,
19988.0,5053.0,14935,15.0,2023-07-27,Thursday,Thursday 2023-07-27,0,
29362.0,7169.0,22193,11.0,2023-07-26,Wednesday,Wednesday 2023-07-26,0,
28072.0,305.0,27767,13.0,2023-07-25,Tuesday,Tuesday 2023-07-25,0,
2078.0,454.0,1624,25.0,2023-07-24,Monday,Monday 2023-07-24,0,
2171.0,337.0,1834,27.0,2023-07-23,Sunday,Sunday 2023-07-23,0,
27921.0,10078.0,17843,14.0,2023-07-22,Saturday,Saturday 2023-07-22,0,
23620.0,12149.0,11471,10.0,2023-07-21,Friday,Friday 2023-07-21,0,
31621.0,7839.0,23782,9.0,2023-07-20,Thursday,Thursday 2023-07-20,0,
27663.0,18677.0,8986,14.0,2023-07-19,Wednesday,Wednesday 2023-07-19,0,
31747.0,15401.0,16346,23.0,2023-07-18,Tuesday,Tuesday 2023-07-18,0,
1743.0,1450.0,293,22.0,2023-07-17,Monday,Monday 2023-07-17,0,
1467.0,1200.0,267,17.0,2023-07-16,Sunday,Sunday 2023-07-16,0,
29387.0,12433.0,16954,15.0,2023-07-15,Saturday,Saturday 2023-07-15,0,
23930.0,21233.0,2697,19.0,2023-07-14,Friday,Friday 2023-07-14,0,
28136.0,16285.0,11851,13.0,2023-07-13,Thursday,Thursday 2023-07-13,0,
28088.0,5786.0,22302,14.0,2023-07-12,Wednesday,Wednesday 2023-07-12,0,
25765.0,23483.0,2282,14.0,2023-07-11,Tuesday,Tuesday 2023-07-11,0,
1743.0,636.0,1107,30.0,2023-07-10,Monday,Monday 2023-07-10,0,
2218.0,2114.0,104,21.0,2023-07-09,Sunday,Sunday 2023-07-09,0,
31086.0,15395.0,15691,13.0,2023-07-08,Saturday,Saturday 2023-07-08,0,
32136.0,22488.0,9648,14.0,2023-07-07,Friday,Friday 2023-07-07,0,
34255.0,26072.0,8183,9.0,2023-07-06,Thursday,Thursday 2023-07-06,0,
29507.0,12854.0,16653,15.0,2023-07-05,Wednesday,Wednesday 2023-07-05,0,
31578.0,6517.0,25061,22.0,2023-07-04,Tuesday,Tuesday 2023-07-04,0,
2005.0,1760.0,245,32.0,2023-07-03,Monday,Monday 2023-07-03,0,
2347.0,1734.0,613,12.0,2023-07-02,Sunday,Sunday 2023-07-02,0,
28060.0,24449.0,3611,17.0,2023-07-01,Saturday,Saturday 2023-07-01,0,
36041.0,3969.0,32072,15.0,2023-06-30,Friday,Friday 2023-06-30,0,
23789.0,9693.0,14096,16.0,2023-06-29,Thursday,Thursday 2023-06-29,0,
28932.0,10569.0,18363,12.0,2023-06-28,Wednesday,Wednesday 2023-06-28,0,
31655.0,3930.0,27725,16.0,2023-06-27,Tuesday,Tuesday 2023-06-27,0,
2095.0,524.0,1571,42.0,2023-06-26,Monday,Monday 2023-06-26,0,
1728.0,1521.0,207,24.0,2023-06-25,Sunday,Sunday 2023-06-25,0,
25399.0,10129.0,15270,17.0,2023-06-24,Saturday,Saturday 2023-06-24,0,
29686.0,6141.0,23545,16.0,2023-06-23,Friday,Friday 2023-06-23,0,
27933.0,8851.0,19082,13.0,2023-06-22,Thursday,Thursday 2023-06-22,0,
35205.0,25833.0,9372,12.0,2023-06-21,Wednesday,Wednesday 2023-06-21,0,
31234.0,6308.0,24926,8.0,2023-06-20,Tuesday,Tuesday 2023-06-20,0,
1356.0,1166.0,190,34.0,2023-06-19,Monday,Monday 2023-06-19,0,
2220.0,1648.0,572,30.0,2023-06-18,Sunday,Sunday 2023-06-18,0,
22541.0,5049.0,17492,15.0,2023-06-17,Saturday,Saturday 2023-06-17,0,
25278.0,1395.0,23883,27.0,2023-06-16,Friday,Friday 2023-06-16,0,
26108.0,3099.0,23009,10.0,2023-06-15,Thursday,Thursday 2023-06-15,0,
25031.0,24138.0,893,6.0,2023-06-14,Wednesday,Wednesday 2023-06-14,0,
33785.0,13394.0,20391,14.0,2023-06-13,Tuesday,Tuesday 2023-06-13,0,
1958.0,278.0,1680,8.0,2023-06-12,Monday,Monday 2023-06-12,0,
1648.0,1390.0,258,21.0,2023-06-11,Sunday,Sunday 2023-06-11,0,
30049.0,8878.0,21171,14.0,2023-06-10,Saturday,Saturday 2023-06-10,0,
31189.0,1085.0,30104,15.0,2023-06-09,Friday,Friday 2023-06-09,0,
31435.0,4076.0,27359,10.0,2023-06-08,Thursday,Thursday 2023-06-08,0,
32685.0,30263.0,2422,24.0,2023-06-07,Wednesday,Wednesday 2023-06-07,0,
31368.0,3802.0,27566,14.0,2023-06-06,Tuesday,Tuesday 2023-06-06,0,
1552.0,820.0,732,48.0,2023-06-05,Monday,Monday 2023-06-05,0,
1574.0,933.0,641,11.0,2023-06-04,Sunday,Sunday 2023-06-04,0,
25687.0,5019.0,20668,25.0,2023-06-03,Saturday,Saturday 2023-06-03,0,
25179.0,15745.0,9434,5.0,2023-06-02,Friday,Friday 2023-06-02,0,
33162.0,27581.0,5581,25.0,2023-06-01,Thursday,Thursday 2023-06-01,0,
29622.0,1733.0,27889,10.0,2023-05-31,Wednesday,Wednesday 2023-05-31,0,
31032.0,9011.0,22021,10.0,2023-05-30,Tuesday,Tuesday 2023-05-30,0,
2203.0,1991.0,212,12.0,2023-05-29,Monday,Monday 2023-05-29,0,
1492.0,339.0,1153,25.0,2023-05-28,Sunday,Sunday 2023-05-28,0,
33300.0,7499.0,25801,13.0,2023-05-27,Saturday,Saturday 2023-05-27,0,
29339.0,3557.0,25782,19.0,2023-05-26,Friday,Friday 2023-05-26,0,
32554.0,28585.0,3969,15.0,2023-05-25,Thursday,Thursday 2023-05-25,0,
29262.0,2559.0,26703,18.0,2023-05-24,Wednesday,Wednesday 2023-05-24,0,
34104.0,33882.0,222,14.0,2023-05-23,Tuesday,Tuesday 2023-05-23,0,
1835.0,53.0,1782,22.0,2023-05-22,Monday,Monday 2023-05-22,0,
2261.0,1449.0,812,40.0,2023-05-21,Sunday,Sunday 2023-05-21,0,
31549.0,25767.0,5782,6.0,2023-05-20,Saturday,Saturday 2023-05-20,0,
35220.0,26514.0,8706,19.0,2023-05-19,Friday,Friday 2023-05-19,0,
24797.0,13085.0,11712,20.0,2023-05-18,Thursday,Thursday 2023-05-18,0,
27305.0,8964.0,18341,19.0,2023-05-17,Wednesday,Wednesday 2023-05-17,0,
33740.0,26826.0,6914,18.0,2023-05-16,Tuesday,Tuesday 2023-05-16,0,
1512.0,715.0,797,29.0,2023-05-15,Monday,Monday 2023-05-15,0,
1606.0,1251.0,355,16.0,2023-05-14,Sunday,Sunday 2023-05-14,0,
32278.0,30505.0,1773,9.0,2023-05-13,Saturday,Saturday 2023-05-13,0,
19582.0,17210.0,2372,15.0,2023-05-12,Friday,Friday 2023-05-12,0,
28052.0,24739.0,3313,11.0,2023-05-11,Thursday,Thursday 2023-05-11,0,
31485.0,23075.0,8410,13.0,2023-05-10,Wednesday,Wednesday 2023-05-10,0,
21840.0,20480.0,1360,8.0,2023-05-09,Tuesday,Tuesday 2023-05-09,0,
2054.0,1396.0,658,14.0,2023-05-08,Monday,Monday 2023-05-08,0,
1828.0,1726.0,102,24.0,2023-05-07,Sunday,Sunday 2023-05-07,0,
34104.0,12501.0,21603,17.0,2023-05-06,Saturday,Saturday 2023-05-06,0,
25024.0,6338.0,18686,5.0,2023-05-05,Friday,Friday 2023-05-05,0,
33025.0,32410.0,615,12.0,2023-05-04,Thursday,Thursday 2023-05-04,0,
38216.0,15598.0,22618,13.0,2023-05-03,Wednesday,Wednesday 2023-05-03,0,
29102.0,2516.0,26586,15.0,2023-05-02,Tuesday,Tuesday 2023-05-02,0,
2199.0,961.0,1238,34.0,2023-05-01,Monday,Monday 2023-05-01,0,
1877.0,382.0,1495,42.0,2023-04-30,Sunday,Sunday 2023-04-30,0,
23472.0,17446.0,6026,12.0,2023-04-29,Saturday,Saturday 2023-04-29,0,
25685.0,1692.0,23993,10.0,2023-04-28,Friday,Friday 2023-04-28,0,
29802.0,8819.0,20983,14.0,2023-04-27,Thursday,Thursday 2023-04-27,0,
21461.0,1434.0,20027,16.0,2023-04-26,Wednesday,Wednesday 2023-04-26,0,
31148.0,482.0,30666,11.0,2023-04-25,Tuesday,Tuesday 2023-04-25,0,
1682.0,1144.0,538,11.0,2023-04-24,Monday,Monday 2023-04-24,0,
1728.0,671.0,1057,27.0,2023-04-23,Sunday,Sunday 2023-04-23,0,
23910.0,6065.0,17845,10.0,2023-04-22,Saturday,Saturday 2023-04-22,0,
26909.0,9535.0,17374,10.0,2023-04-21,Friday,Friday 2023-04-21,0,
27329.0,14323.0,13006,14.0,2023-04-20,Thursday,Thursday 2023-04-20,0,
25931.0,4188.0,21743,21.0,2023-04-19,Wednesday,Wednesday 2023-04-19,0,
29019.0,16189.0,12830,13.0,2023-04-18,Tuesday,Tuesday 2023-04-18,0,
1840.0,1242.0,598,22.0,2023-04-17,Monday,Monday 2023-04-17,0,
1563.0,515.0,1048,12.0,2023-04-16,Sunday,Sunday 2023-04-16,0,
37134.0,25860.0,11274,9.0,2023-04-15,Saturday,Saturday 2023-04-15,0,
31744.0,1355.0,30389,13.0,2023-04-14,Friday,Friday 2023-04-14,0,
25690.0,14063.0,11627,15.0,2023-04-13,Thursday,Thursday 2023-04-13,0,
22042.0,6310.0,15732,9.0,2023-04-12,Wednesday,Wednesday 2023-04-12,0,
