total_rows,rows_updated,rows_created,errors,date,day_of_week,axis_label
30843,9139,21704,14,2024-01-18,Thursday,Thursday 2024-01-18
32250,15896,16354,10,2024-01-17,Wednesday,Wednesday 2024-01-17
25436,398,25038,11,2024-01-16,Tuesday,Tuesday 2024-01-16
2218,1444,774,12,2024-01-15,Monday,Monday 2024-01-15
1704,538,1166,19,2024-01-14,Sunday,Sunday 2024-01-14
31555,8152,23403,8,2024-01-13,Saturday,Saturday 2024-01-13
31510,9901,21609,9,2024-01-12,Friday,Friday 2024-01-12
29321,974,28347,9,2024-01-11,Thursday,Thursday 2024-01-11
27458,18412,9046,7,2024-01-10,Wednesday,Wednesday 2024-01-10
32625,28080,4545,23,2024-01-09,Tuesday,Tuesday 2024-01-09
1711,858,853,30,2024-01-08,Monday,Monday 2024-01-08
1354,904,450,14,2024-01-07,Sunday,Sunday 2024-01-07
31415,21737,9678,9,2024-01-06,Saturday,Saturday 2024-01-06
34977,22271,12706,17,2024-01-05,Friday,Friday 2024-01-05
27571,9813,17758,13,2024-01-04,Thursday,Thursday 2024-01-04
33316,17577,15739,8,2024-01-03,Wednesday,Wednesday 2024-01-03
33676,15179,18497,21,2024-01-02,Tuesday,Tuesday 2024-01-02
1485,919,566,19,2024-01-01,Monday,Monday 2024-01-01
1709,691,1018,24,2023-12-31,Sunday,Sunday 2023-12-31
32046,18195,13851,8,2023-12-30,Saturday,Saturday 2023-12-30
31434,8070,23364,19,2023-12-29,Friday,Friday 2023-12-29
27413,5080,22333,19,2023-12-28,Thursday,Thursday 2023-12-28
31371,29278,2093,15,2023-12-27,Wednesday,Wednesday 2023-12-27
29729,1990,27739,9,2023-12-26,Tuesday,Tuesday 2023-12-26
2128,604,1524,34,2023-12-25,Monday,Monday 2023-12-25
1882,1645,237,43,2023-12-24,Sunday,Sunday 2023-12-24
33878,3674,30204,5,2023-12-23,Saturday,Saturday 2023-12-23
29353,16618,12735,9,2023-12-22,Friday,Friday 2023-12-22
32046,3953,28093,17,2023-12-21,Thursday,Thursday 2023-12-21
27587,26493,1094,4,2023-12-20,Wednesday,Wednesday 2023-12-20
29502,17294,12208,12,2023-12-19,Tuesday,Tuesday 2023-12-19
1506,203,1303,32,2023-12-18,Monday,Monday 2023-12-18
2094,792,1302,9,2023-12-17,Sunday,Sunday 2023-12-17
31799,1848,29951,10,2023-12-16,Saturday,Saturday 2023-12-16
27662,12577,15085,17,2023-12-15,Friday,Friday 2023-12-15
29837,2272,27565,8,2023-12-14,Thursday,Thursday 2023-12-14
31777,9571,22206,10,2023-12-13,Wednesday,Wednesday 2023-12-13
29781,18845,10936,22,2023-12-12,Tuesday,Tuesday 2023-12-12
1743,85,1658,17,2023-12-11,Monday,Monday 2023-12-11
1708,1486,222,29,2023-12-10,Sunday,Sunday 2023-12-10
29659,23426,6233,17,2023-12-09,Saturday,Saturday 2023-12-09
37400,31132,6268,9,2023-12-08,Friday,Friday 2023-12-08
29531,26570,2961,5,2023-12-07,Thursday,Thursday 2023-12-07
35519,7273,28246,19,2023-12-06,Wednesday,Wednesday 2023-12-06
34191,4112,30079,5,2023-12-05,Tuesday,Tuesday 2023-12-05
1977,1350,627,21,2023-12-04,Monday,Monday 2023-12-04
1884,1180,704,29,2023-12-03,Sunday,Sunday 2023-12-03
25734,6065,19669,19,2023-12-02,Saturday,Saturday 2023-12-02
25236,15116,10120,13,2023-12-01,Friday,Friday 2023-12-01
30118,18974,11144,8,2023-11-30,Thursday,Thursday 2023-11-30
29691,18957,10734,22,2023-11-29,Wednesday,Wednesday 2023-11-29
27737,21789,5948,19,2023-11-28,Tuesday,Tuesday 2023-11-28
1753,492,1261,29,2023-11-27,Monday,Monday 2023-11-27
2103,1833,270,22,2023-11-26,Sunday,Sunday 2023-11-26
21794,18236,3558,5,2023-11-25,Saturday,Saturday 2023-11-25
27856,27828,28,10,2023-11-24,Friday,Friday 2023-11-24
27261,10297,16964,13,2023-11-23,Thursday,Thursday 2023-11-23
23834,20276,3558,14,2023-11-22,Wednesday,Wednesday 2023-11-22
39660,35594,4066,10,2023-11-21,Tuesday,Tuesday 2023-11-21
1730,1204,526,21,2023-11-20,Monday,Monday 2023-11-20
1735,63,1672,19,2023-11-19,Sunday,Sunday 2023-11-19
27782,23505,4277,10,2023-11-18,Saturday,Saturday 2023-11-18
29843,14689,15154,18,2023-11-17,Friday,Friday 2023-11-17
29201,18987,10214,18,2023-11-16,Thursday,Thursday 2023-11-16
29311,3206,26105,14,2023-11-15,Wednesday,Wednesday 2023-11-15
33351,22024,11327,10,2023-11-14,Tuesday,Tuesday 2023-11-14
1955,1946,9,9,2023-11-13,Monday,Monday 2023-11-13
1595,624,971,6,2023-11-12,Sunday,Sunday 2023-11-12
30019,16192,13827,14,2023-11-11,Saturday,Saturday 2023-11-11
31016,26866,4150,12,2023-11-10,Friday,Friday 2023-11-10
27953,22413,5540,9,2023-11-09,Thursday,Thursday 2023-11-09
33554,18737,14817,10,2023-11-08,Wednesday,Wednesday 2023-11-08
31884,20146,11738,11,2023-11-07,Tuesday,Tuesday 2023-11-07
2108,1135,973,21,2023-11-06,Monday,Monday 2023-11-06
1779,1205,574,27,2023-11-05,Sunday,Sunday 2023-11-05
37533,17109,20424,15,2023-11-04,Saturday,Saturday 2023-11-04
29141,5555,23586,19,2023-11-03,Friday,Friday 2023-11-03
32347,17364,14983,10,2023-11-02,Thursday,Thursday 2023-11-02
22237,5944,16293,24,2023-11-01,Wednesday,Wednesday 2023-11-01
29274,12388,16886,12,2023-10-31,Tuesday,Tuesday 2023-10-31
1680,977,703,34,2023-10-30,Monday,Monday 2023-10-30
1740,741,999,30,2023-10-29,Sunday,Sunday 2023-10-29
27649,21139,6510,9,2023-10-28,Saturday,Saturday 2023-10-28
27625,26636,989,17,2023-10-27,Friday,Friday 2023-10-27
29046,21350,7696,17,2023-10-26,Thursday,Thursday 2023-10-26
34869,24540,10329,8,2023-10-25,Wednesday,Wednesday 2023-10-25
33449,31807,1642,15,2023-10-24,Tuesday,Tuesday 2023-10-24
1240,469,771,32,2023-10-23,Monday,Monday 2023-10-23
1881,1586,295,17,2023-10-22,Sunday,Sunday 2023-10-22
27712,9815,17897,12,2023-10-21,Saturday,Saturday 2023-10-21
25307,7083,18224,17,2023-10-20,Friday,Friday 2023-10-20
36027,10539,25488,21,2023-10-19,Thursday,Thursday 2023-10-19
25214,6060,19154,16,2023-10-18,Wednesday,Wednesday 2023-10-18
22208,9282,12926,14,2023-10-17,Tuesday,Tuesday 2023-10-17
1759,686,1073,12,2023-10-16,Monday,Monday 2023-10-16
1558,161,1397,19,2023-10-15,Sunday,Sunday 2023-10-15
25843,7024,18819,5,2023-10-14,Saturday,Saturday 2023-10-14
27325,26049,1276,18,2023-10-13,Friday,Friday 2023-10-13
28171,11352,16819,16,2023-10-12,Thursday,Thursday 2023-10-12
26051,25512,539,12,2023-10-11,Wednesday,Wednesday 2023-10-11
25806,20204,5602,9,2023-10-10,Tuesday,Tuesday 2023-10-10
1941,870,1071,8,2023-10-09,Monday,Monday 2023-10-09
2206,914,1292,38,2023-10-08,Sunday,Sunday 2023-10-08
35376,24469,10907,17,2023-10-07,Saturday,Saturday 2023-10-07
23263,9712,13551,9,2023-10-06,Friday,Friday 2023-10-06
29605,10801,18804,18,2023-10-05,Thursday,Thursday 2023-10-05
29416,23123,6293,14,2023-10-04,Wednesday,Wednesday 2023-10-04
27984,9476,18508,9,2023-10-03,Tuesday,Tuesday 2023-10-03
1718,1352,366,25,2023-10-02,Monday,Monday 2023-10-02
1482,567,915,29,2023-10-01,Sunday,Sunday 2023-10-01
30140,1874,28266,7,2023-09-30,Saturday,Saturday 2023-09-30
30000,26853,3147,17,2023-09-29,Friday,Friday 2023-09-29
25073,9721,15352,20,2023-09-28,Thursday,Thursday 2023-09-28
23224,3871,19353,31,2023-09-27,Wednesday,Wednesday 2023-09-27
35610,27996,7614,4,2023-09-26,Tuesday,Tuesday 2023-09-26
2127,1607,520,43,2023-09-25,Monday,Monday 2023-09-25
1730,1239,491,16,2023-09-24,Sunday,Sunday 2023-09-24
27114,16315,10799,11,2023-09-23,Saturday,Saturday 2023-09-23
30116,28507,1609,5,2023-09-22,Friday,Friday 2023-09-22
13552,3572,9980,15,2023-09-21,Thursday,Thursday 2023-09-21
29931,1089,28842,22,2023-09-20,Wednesday,Wednesday 2023-09-20
29012,9347,19665,12,2023-09-19,Tuesday,Tuesday 2023-09-19
1740,591,1149,9,2023-09-18,Monday,Monday 2023-09-18
1734,199,1535,12,2023-09-17,Sunday,Sunday 2023-09-17
34905,11914,22991,11,2023-09-16,Saturday,Saturday 2023-09-16
31840,17447,14393,11,2023-09-15,Friday,Friday 2023-09-15
33332,21555,11777,11,2023-09-14,Thursday,Thursday 2023-09-14
29959,7064,22895,21,2023-09-13,Wednesday,Wednesday 2023-09-13
35972,32789,3183,23,2023-09-12,Tuesday,Tuesday 2023-09-12
2087,1413,674,16,2023-09-11,Monday,Monday 2023-09-11
1727,878,849,38,2023-09-10,Sunday,Sunday 2023-09-10
33809,18480,15329,9,2023-09-09,Saturday,Saturday 2023-09-09
33931,866,33065,11,2023-09-08,Friday,Friday 2023-09-08
31461,26201,5260,12,2023-09-07,Thursday,Thursday 2023-09-07
27429,8033,19396,12,2023-09-06,Wednesday,Wednesday 2023-09-06
31499,24627,6872,11,2023-09-05,Tuesday,Tuesday 2023-09-05
1570,1103,467,35,2023-09-04,Monday,Monday 2023-09-04
1719,288,1431,17,2023-09-03,Sunday,Sunday 2023-09-03
27837,918,26919,7,2023-09-02,Saturday,Saturday 2023-09-02
31698,23548,8150,14,2023-09-01,Friday,Friday 2023-09-01
27197,15278,11919,8,2023-08-31,Thursday,Thursday 2023-08-31
25353,258,25095,7,2023-08-30,Wednesday,Wednesday 2023-08-30
21358,8765,12593,16,2023-08-29,Tuesday,Tuesday 2023-08-29
1827,1097,730,14,2023-08-28,Monday,Monday 2023-08-28
2122,837,1285,30,2023-08-27,Sunday,Sunday 2023-08-27
30148,4219,25929,26,2023-08-26,Saturday,Saturday 2023-08-26
27698,11088,16610,11,2023-08-25,Friday,Friday 2023-08-25
30262,23639,6623,12,2023-08-24,Thursday,Thursday 2023-08-24
31243,25540,5703,20,2023-08-23,Wednesday,Wednesday 2023-08-23
31923,10008,21915,11,2023-08-22,Tuesday,Tuesday 2023-08-22
2149,2124,25,27,2023-08-21,Monday,Monday 2023-08-21
1873,596,1277,8,2023-08-20,Sunday,Sunday 2023-08-20
31436,14861,16575,12,2023-08-19,Saturday,Saturday 2023-08-19
30206,11218,18988,17,2023-08-18,Friday,Friday 2023-08-18
28070,4095,23975,18,2023-08-17,Thursday,Thursday 2023-08-17
31084,3553,27531,9,2023-08-16,Wednesday,Wednesday 2023-08-16
26807,21009,5798,16,2023-08-15,Tuesday,Tuesday 2023-08-15
2267,732,1535,24,2023-08-14,Monday,Monday 2023-08-14
1967,1580,387,14,2023-08-13,Sunday,Sunday 2023-08-13
36140,28702,7438,10,2023-08-12,Saturday,Saturday 2023-08-12
25908,6875,19033,13,2023-08-11,Friday,Friday 2023-08-11
25797,9127,16670,17,2023-08-10,Thursday,Thursday 2023-08-10
33268,31116,2152,10,2023-08-09,Wednesday,Wednesday 2023-08-09
31031,15386,15645,16,2023-08-08,Tuesday,Tuesday 2023-08-08
2018,526,1492,17,2023-08-07,Monday,Monday 2023-08-07
1690,1150,540,24,2023-08-06,Sunday,Sunday 2023-08-06
29284,6431,22853,10,2023-08-05,Saturday,Saturday 2023-08-05
35157,18680,16477,4,2023-08-04,Friday,Friday 2023-08-04
30030,12983,17047,12,2023-08-03,Thursday,Thursday 2023-08-03
25542,7184,18358,9,2023-08-02,Wednesday,Wednesday 2023-08-02
31630,30495,1135,7,2023-08-01,Tuesday,Tuesday 2023-08-01
1479,994,485,14,2023-07-31,Monday,Monday 2023-07-31
2089,766,1323,29,2023-07-30,Sunday,Sunday 2023-07-30
23285,3158,20127,11,2023-07-29,Saturday,Saturday 2023-07-29
24441,22627,1814,13,2023-07-28,Friday,Friday 2023-07-28
19988,5053,14935,15,2023-07-27,Thursday,Thursday 2023-07-27
29362,7169,22193,11,2023-07-26,Wednesday,Wednesday 2023-07-26
28072,305,27767,13,2023-07-25,Tuesday,Tuesday 2023-07-25
2078,454,1624,25,2023-07-24,Monday,Monday 2023-07-24
2171,337,1834,27,2023-07-23,Sunday,Sunday 2023-07-23
27921,10078,17843,14,2023-07-22,Saturday,Saturday 2023-07-22
23620,12149,11471,10,2023-07-21,Friday,Friday 2023-07-21
31621,7839,23782,9,2023-07-20,Thursday,Thursday 2023-07-20
27663,18677,8986,14,2023-07-19,Wednesday,Wednesday 2023-07-19
31747,15401,16346,23,2023-07-18,Tuesday,Tuesday 2023-07-18
1743,1450,293,22,2023-07-17,Monday,Monday 2023-07-17
1467,1200,267,17,2023-07-16,Sunday,Sunday 2023-07-16
29387,12433,16954,15,2023-07-15,Saturday,Saturday 2023-07-15
23930,21233,2697,19,2023-07-14,Friday,Friday 2023-07-14
28136,16285,11851,13,2023-07-13,Thursday,Thursday 2023-07-13
28088,5786,22302,14,2023-07-12,Wednesday,Wednesday 2023-07-12
25765,23483,2282,14,2023-07-11,Tuesday,Tuesday 2023-07-11
1743,636,1107,30,2023-07-10,Monday,Monday 2023-07-10
2218,2114,104,21,2023-07-09,Sunday,Sunday 2023-07-09
31086,15395,15691,13,2023-07-08,Saturday,Saturday 2023-07-08
32136,22488,9648,14,2023-07-07,Friday,Friday 2023-07-07
34255,26072,8183,9,2023-07-06,Thursday,Thursday 2023-07-06
29507,12854,16653,15,2023-07-05,Wednesday,Wednesday 2023-07-05
31578,6517,25061,22,2023-07-04,Tuesday,Tuesday 2023-07-04
2005,1760,245,32,2023-07-03,Monday,Monday 2023-07-03
2347,1734,613,12,2023-07-02,Sunday,Sunday 2023-07-02
28060,24449,3611,17,2023-07-01,Saturday,Saturday 2023-07-01
36041,3969,32072,15,2023-06-30,Friday,Friday 2023-06-30
23789,9693,14096,16,2023-06-29,Thursday,Thursday 2023-06-29
28932,10569,18363,12,2023-06-28,Wednesday,Wednesday 2023-06-28
31655,3930,27725,16,2023-06-27,Tuesday,Tuesday 2023-06-27
2095,524,1571,42,2023-06-26,Monday,Monday 2023-06-26
1728,1521,207,24,2023-06-25,Sunday,Sunday 2023-06-25
25399,10129,15270,17,2023-06-24,Saturday,Saturday 2023-06-24
29686,6141,23545,16,2023-06-23,Friday,Friday 2023-06-23
27933,8851,19082,13,2023-06-22,Thursday,Thursday 2023-06-22
35205,25833,9372,12,2023-06-21,Wednesday,Wednesday 2023-06-21
31234,6308,24926,8,2023-06-20,Tuesday,Tuesday 2023-06-20
1356,1166,190,34,2023-06-19,Monday,Monday 2023-06-19
2220,1648,572,30,2023-06-18,Sunday,Sunday 2023-06-18
22541,5049,17492,15,2023-06-17,Saturday,Saturday 2023-06-17
25278,1395,23883,27,2023-06-16,Friday,Friday 2023-06-16
26108,3099,23009,10,2023-06-15,Thursday,Thursday 2023-06-15
25031,24138,893,6,2023-06-14,Wednesday,Wednesday 2023-06-14
33785,13394,20391,14,2023-06-13,Tuesday,Tuesday 2023-06-13
1958,278,1680,8,2023-06-12,Monday,Monday 2023-06-12
1648,1390,258,21,2023-06-11,Sunday,Sunday 2023-06-11
30049,8878,21171,14,2023-06-10,Saturday,Saturday 2023-06-10
31189,1085,30104,15,2023-06-09,Friday,Friday 2023-06-09
31435,4076,27359,10,2023-06-08,Thursday,Thursday 2023-06-08
32685,30263,2422,24,2023-06-07,Wednesday,Wednesday 2023-06-07
31368,3802,27566,14,2023-06-06,Tuesday,Tuesday 2023-06-06
1552,820,732,48,2023-06-05,Monday,Monday 2023-06-05
1574,933,641,11,2023-06-04,Sunday,Sunday 2023-06-04
25687,5019,20668,25,2023-06-03,Saturday,Saturday 2023-06-03
25179,15745,9434,5,2023-06-02,Friday,Friday 2023-06-02
33162,27581,5581,25,2023-06-01,Thursday,Thursday 2023-06-01
29622,1733,27889,10,2023-05-31,Wednesday,Wednesday 2023-05-31
31032,9011,22021,10,2023-05-30,Tuesday,Tuesday 2023-05-30
2203,1991,212,12,2023-05-29,Monday,Monday 2023-05-29
1492,339,1153,25,2023-05-28,Sunday,Sunday 2023-05-28
33300,7499,25801,13,2023-05-27,Saturday,Saturday 2023-05-27
29339,3557,25782,19,2023-05-26,Friday,Friday 2023-05-26
32554,28585,3969,15,2023-05-25,Thursday,Thursday 2023-05-25
29262,2559,26703,18,2023-05-24,Wednesday,Wednesday 2023-05-24
34104,33882,222,14,2023-05-23,Tuesday,Tuesday 2023-05-23
1835,53,1782,22,2023-05-22,Monday,Monday 2023-05-22
2261,1449,812,40,2023-05-21,Sunday,Sunday 2023-05-21
31549,25767,5782,6,2023-05-20,Saturday,Saturday 2023-05-20
35220,26514,8706,19,2023-05-19,Friday,Friday 2023-05-19
24797,13085,11712,20,2023-05-18,Thursday,Thursday 2023-05-18
27305,8964,18341,19,2023-05-17,Wednesday,Wednesday 2023-05-17
33740,26826,6914,18,2023-05-16,Tuesday,Tuesday 2023-05-16
1512,715,797,29,2023-05-15,Monday,Monday 2023-05-15
1606,1251,355,16,2023-05-14,Sunday,Sunday 2023-05-14
32278,30505,1773,9,2023-05-13,Saturday,Saturday 2023-05-13
19582,17210,2372,15,2023-05-12,Friday,Friday 2023-05-12
28052,24739,3313,11,2023-05-11,Thursday,Thursday 2023-05-11
31485,23075,8410,13,2023-05-10,Wednesday,Wednesday 2023-05-10
21840,20480,1360,8,2023-05-09,Tuesday,Tuesday 2023-05-09
2054,1396,658,14,2023-05-08,Monday,Monday 2023-05-08
1828,1726,102,24,2023-05-07,Sunday,Sunday 2023-05-07
34104,12501,21603,17,2023-05-06,Saturday,Saturday 2023-05-06
25024,6338,18686,5,2023-05-05,Friday,Friday 2023-05-05
33025,32410,615,12,2023-05-04,Thursday,Thursday 2023-05-04
38216,15598,22618,13,2023-05-03,Wednesday,Wednesday 2023-05-03
29102,2516,26586,15,2023-05-02,Tuesday,Tuesday 2023-05-02
2199,961,1238,34,2023-05-01,Monday,Monday 2023-05-01
1877,382,1495,42,2023-04-30,Sunday,Sunday 2023-04-30
23472,17446,6026,12,2023-04-29,Saturday,Saturday 2023-04-29
25685,1692,23993,10,2023-04-28,Friday,Friday 2023-04-28
29802,8819,20983,14,2023-04-27,Thursday,Thursday 2023-04-27
21461,1434,20027,16,2023-04-26,Wednesday,Wednesday 2023-04-26
31148,482,30666,11,2023-04-25,Tuesday,Tuesday 2023-04-25
1682,1144,538,11,2023-04-24,Monday,Monday 2023-04-24
1728,671,1057,27,2023-04-23,Sunday,Sunday 2023-04-23
23910,6065,17845,10,2023-04-22,Saturday,Saturday 2023-04-22
26909,9535,17374,10,2023-04-21,Friday,Friday 2023-04-21
27329,14323,13006,14,2023-04-20,Thursday,Thursday 2023-04-20
25931,4188,21743,21,2023-04-19,Wednesday,Wednesday 2023-04-19
29019,16189,12830,13,2023-04-18,Tuesday,Tuesday 2023-04-18
1840,1242,598,22,2023-04-17,Monday,Monday 2023-04-17
1563,515,1048,12,2023-04-16,Sunday,Sunday 2023-04-16
37134,25860,11274,9,2023-04-15,Saturday,Saturday 2023-04-15
31744,1355,30389,13,2023-04-14,Friday,Friday 2023-04-14
25690,14063,11627,15,2023-04-13,Thursday,Thursday 2023-04-13
22042,6310,15732,9,2023-04-12,Wednesday,Wednesday 2023-04-12
25242,19713,5529,23,2023-04-11,Tuesday,Tuesday 2023-04-11
1757,1343,414,9,2023-04-10,Monday,Monday 2023-04-10
1734,457,1277,14,2023-04-09,Sunday,Sunday 2023-04-09
31653,78,31575,13,2023-04-08,Saturday,Saturday 2023-04-08
28367,7319,21048,29,2023-04-07,Friday,Friday 2023-04-07
26148,25971,177,25,2023-04-06,Thursday,Thursday 2023-04-06
25795,15274,10521,27,2023-04-05,Wednesday,Wednesday 2023-04-05
21474,2083,19391,12,2023-04-04,Tuesday,Tuesday 2023-04-04
1891,1518,373,16,2023-04-03,Monday,Monday 2023-04-03
1632,692,940,22,2023-04-02,Sunday,Sunday 2023-04-02
34148,9159,24989,7,2023-04-01,Saturday,Saturday 2023-04-01
27299,6828,20471,14,2023-03-31,Friday,Friday 2023-03-31
23864,3450,20414,13,2023-03-30,Thursday,Thursday 2023-03-30
17690,17280,410,12,2023-03-29,Wednesday,Wednesday 2023-03-29
32196,3722,28474,14,2023-03-28,Tuesday,Tuesday 2023-03-28
2098,775,1323,21,2023-03-27,Monday,Monday 2023-03-27
1579,272,1307,24,2023-03-26,Sunday,Sunday 2023-03-26
29898,14369,15529,9,2023-03-25,Saturday,Saturday 2023-03-25
23872,4760,19112,17,2023-03-24,Friday,Friday 2023-03-24
23953,13425,10528,19,2023-03-23,Thursday,Thursday 2023-03-23
33789,10597,23192,7,2023-03-22,Wednesday,Wednesday 2023-03-22
21122,1192,19930,4,2023-03-21,Tuesday,Tuesday 2023-03-21
1885,1855,30,8,2023-03-20,Monday,Monday 2023-03-20
1889,1227,662,29,2023-03-19,Sunday,Sunday 2023-03-19
34138,4137,30001,18,2023-03-18,Saturday,Saturday 2023-03-18
33814,25968,7846,12,2023-03-17,Friday,Friday 2023-03-17
27660,24329,3331,7,2023-03-16,Thursday,Thursday 2023-03-16
29388,7875,21513,10,2023-03-15,Wednesday,Wednesday 2023-03-15
23606,4041,19565,14,2023-03-14,Tuesday,Tuesday 2023-03-14
1474,1189,285,14,2023-03-13,Monday,Monday 2023-03-13
1616,1504,112,16,2023-03-12,Sunday,Sunday 2023-03-12
31109,24179,6930,7,2023-03-11,Saturday,Saturday 2023-03-11
33229,16375,16854,9,2023-03-10,Friday,Friday 2023-03-10
29256,9378,19878,12,2023-03-09,Thursday,Thursday 2023-03-09
33473,24526,8947,15,2023-03-08,Wednesday,Wednesday 2023-03-08
31698,12143,19555,14,2023-03-07,Tuesday,Tuesday 2023-03-07
1861,282,1579,16,2023-03-06,Monday,Monday 2023-03-06
1743,1609,134,19,2023-03-05,Sunday,Sunday 2023-03-05
34914,25386,9528,23,2023-03-04,Saturday,Saturday 2023-03-04
25789,2790,22999,14,2023-03-03,Friday,Friday 2023-03-03
28316,3917,24399,19,2023-03-02,Thursday,Thursday 2023-03-02
31346,20545,10801,13,2023-03-01,Wednesday,Wednesday 2023-03-01
22955,21472,1483,4,2023-02-28,Tuesday,Tuesday 2023-02-28
1506,26,1480,16,2023-02-27,Monday,Monday 2023-02-27
2258,519,1739,14,2023-02-26,Sunday,Sunday 2023-02-26
31557,1821,29736,6,2023-02-25,Saturday,Saturday 2023-02-25
27502,10020,17482,13,2023-02-24,Friday,Friday 2023-02-24
34183,5613,28570,18,2023-02-23,Thursday,Thursday 2023-02-23
27180,680,26500,19,2023-02-22,Wednesday,Wednesday 2023-02-22
31257,23182,8075,11,2023-02-21,Tuesday,Tuesday 2023-02-21
1580,822,758,17,2023-02-20,Monday,Monday 2023-02-20
1781,242,1539,17,2023-02-19,Sunday,Sunday 2023-02-19
27674,27214,460,9,2023-02-18,Saturday,Saturday 2023-02-18
25657,13986,11671,20,2023-02-17,Friday,Friday 2023-02-17
33650,654,32996,18,2023-02-16,Thursday,Thursday 2023-02-16
30903,16767,14136,14,2023-02-15,Wednesday,Wednesday 2023-02-15
26041,20374,5667,14,2023-02-14,Tuesday,Tuesday 2023-02-14
1951,1035,916,17,2023-02-13,Monday,Monday 2023-02-13
1825,425,1400,9,2023-02-12,Sunday,Sunday 2023-02-12
26721,9651,17070,14,2023-02-11,Saturday,Saturday 2023-02-11
30110,22309,7801,10,2023-02-10,Friday,Friday 2023-02-10
33788,26260,7528,8,2023-02-09,Thursday,Thursday 2023-02-09
25790,14337,11453,19,2023-02-08,Wednesday,Wednesday 2023-02-08
27637,17859,9778,3,2023-02-07,Tuesday,Tuesday 2023-02-07
1856,1087,769,16,2023-02-06,Monday,Monday 2023-02-06
2003,1185,818,30,2023-02-05,Sunday,Sunday 2023-02-05
31347,4353,26994,7,2023-02-04,Saturday,Saturday 2023-02-04
31442,20918,10524,18,2023-02-03,Friday,Friday 2023-02-03
27760,15912,11848,9,2023-02-02,Thursday,Thursday 2023-02-02
25459,1732,23727,4,2023-02-01,Wednesday,Wednesday 2023-02-01
27392,3175,24217,15,2023-01-31,Tuesday,Tuesday 2023-01-31
1855,1488,367,14,2023-01-30,Monday,Monday 2023-01-30
1754,1311,443,16,2023-01-29,Sunday,Sunday 2023-01-29
27460,22737,4723,13,2023-01-28,Saturday,Saturday 2023-01-28
21799,6321,15478,17,2023-01-27,Friday,Friday 2023-01-27
26369,18355,8014,10,2023-01-26,Thursday,Thursday 2023-01-26
33683,25012,8671,16,2023-01-25,Wednesday,Wednesday 2023-01-25
29183,9178,20005,16,2023-01-24,Tuesday,Tuesday 2023-01-24
1985,491,1494,21,2023-01-23,Monday,Monday 2023-01-23
1864,539,1325,9,2023-01-22,Sunday,Sunday 2023-01-22
32152,20934,11218,13,2023-01-21,Saturday,Saturday 2023-01-21
30884,30060,824,8,2023-01-20,Friday,Friday 2023-01-20
32914,21385,11529,10,2023-01-19,Thursday,Thursday 2023-01-19
29426,11343,18083,23,2023-01-18,Wednesday,Wednesday 2023-01-18
